Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/21/23 21:00:00,05/21/23 22:00:00,8284
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 15:00:00,05/28/23 16:00:00,25987
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/22/23 23:00:00,05/23/23 00:00:00,82824
AmazonEC2,PublicIP-In,EUW2-DataTransfer-Regional-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,1520
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/26/23 21:00:00,05/26/23 22:00:00,8589934592
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/22/23 23:00:00,05/23/23 00:00:00,205801
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 15:00:00,05/28/23 16:00:00,400
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 22:00:00,05/28/23 23:00:00,177
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,52274
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,32661
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/22/23 23:00:00,05/23/23 00:00:00,225697
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/22/23 23:00:00,05/23/23 00:00:00,6671515866
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 03:00:00,05/29/23 04:00:00,2
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/26/23 22:00:00,05/26/23 23:00:00,1
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,400
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,28
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/26/23 21:00:00,05/26/23 22:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/22/23 23:00:00,05/23/23 00:00:00,0
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/21/23 21:00:00,05/21/23 22:00:00,193127
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/21/23 23:00:00,05/22/23 00:00:00,1
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/21/23 21:00:00,05/21/23 22:00:00,6017726400
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/22/23 00:00:00,05/22/23 01:00:00,1
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/28/23 19:00:00,05/28/23 20:00:00,0
AmazonEC2,PublicIP-In,EUW2-APS1-AWS-In-Bytes,,05/28/23 17:00:00,05/28/23 18:00:00,112
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,5662
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 23:00:00,05/23/23 00:00:00,6852
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/28/23 22:00:00,05/28/23 23:00:00,1.6
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 12:00:00,05/29/23 13:00:00,2
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 21:00:00,05/26/23 22:00:00,6807
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/21/23 21:00:00,05/21/23 22:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/22/23 01:00:00,05/22/23 02:00:00,0
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 10:00:00,05/29/23 11:00:00,2
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/28/23 20:00:00,05/28/23 21:00:00,1
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 14:00:00,05/29/23 15:00:00,2
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,40
